Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn
Apodemus_agrarius	51	0	0	3	0	1	0
Avahi_laniger	77.5	155	0.2	9	2	0.833333333333333	0.166666666666667
Balaenoptera_physalus	51.5	22	0.25	3	1	0.775	0.225
Bos_taurus	58	58	0.133928571428571	2	1	0.875	0.125
Branchiostoma_belcheri	52	0	0.333333333333333	3	1	0.75	0.25
Branchiostoma_floridae	51.5	0	0	4	0	1	0
Bubalus_bubalis	39.5	0	0	3	0	1	0
Canis_lupus	57	22	0.25	2	1	0.775	0.225
Canis_lupus_familiaris	57.6666666666667	58	0.5	1	1	0.5	0.5
Capra_hircus	21	0	0	3	0	1	0
Carassius_auratus	55.25	58	0.1	8	1	0.909090909090909	0.0909090909090909
Cercopithecus_albogularis	69.5	84	0.2	7	1	0.833333333333333	0.166666666666667
Chamaeleo_chamaeleon	24	21	0.0909090909090909	6	1	0.916666666666667	0.0833333333333333
Cheirogaleus_medius	65.6	81	0.0833333333333333	19	1	0.91304347826087	0.0869565217391304
Clupea_harengus	23	0	0	2	0	1	0
Colobus_guereza	44.4	165	1	2	3	0.428571428571429	0.571428571428571
Coregonus_lavaretus	59.5	98	0.666666666666667	2	2	0.571428571428571	0.428571428571429
Cyprinus_carpio	57.6666666666667	22	0.075	6	1	0.930232558139535	0.0697674418604651
Equus_caballus	39.5	0	0	2	0	1	0
Ficedula_hyperythra	90.5555555555556	804	0.264705882352941	33	9	0.790697674418605	0.209302325581395
Hapalemur_griseus	51	102	0.4	4	2	0.714285714285714	0.285714285714286
Hexagrammos_otakii	21	0	0	2	0	1	0
Lampetra_aepyptera	21	57	0.266666666666667	11	2	0.785714285714286	0.214285714285714
Lepilemur_mustelinus	48.7660256410256	81	0.604978354978355	2	2	0.617647058823529	0.382352941176471
Macaca_fascicularis	58	144	0.214285714285714	12	2	0.823529411764706	0.176470588235294
Mammuthus_primigenius	37.5	0	0	4	0	1	0
Mammuthus_sp	NA	0	0	2	0	1	0
Martes_zibellina	81	0	0	4	0	1	0
Microcebus_murinus	63.5	0	0	7	0	1	0
Microcebus_rufus	77.6	174	0.125	21	3	0.888888888888889	0.111111111111111
Misgurnus_anguillicaudatus	37.4444444444444	0	0	5	0	1	0
Muntiacus_sp	59.5	0	0	8	0	1	0
Mus_musculus	70.5	81	0.142857142857143	10	1	0.875	0.125
Mus_musculus_musculus	81	81	0.25	3	1	0.75	0.25
Myodes_glareolus	64.2	145	0.25	5	2	0.8	0.2
Odocoileus_virginianus	21	0	0	6	0	1	0
Oncorhynchus_keta	67.6666666666667	137	0.666666666666667	2	2	0.5	0.5
Orcinus_orca	69.5	58	0.375	1	1	0.666666666666667	0.333333333333333
Oryzias_latipes	72.6	369	0.142857142857143	41	6	0.875	0.125
Ovis_aries	21	0	0	3	0	1	0
Pan_troglodytes	69.5	139	0.354166666666667	6	2	0.727272727272727	0.272727272727273
Peromyscus_maniculatus	61	158	0.2	15	3	0.833333333333333	0.166666666666667
Peromyscus_melanophrys	82	252	0.173913043478261	21	3	0.851851851851852	0.148148148148148
Peromyscus_perfulvus	56.5555555555556	395	0.32	25	7	0.75	0.25
Phoca_groenlandica	65	58	0.5	2	1	0.666666666666667	0.333333333333333
Plecotus_macrobullaris	69.5	139	0.11437908496732	8	2	0.894736842105263	0.105263157894737
Pomatorhinus_ruficollis	54.5	137	0.5	6	3	0.666666666666667	0.333333333333333
Prionailurus_bengalensis	60	46	0.0833333333333333	10	1	0.919871794871795	0.0801282051282051
Propithecus_verreauxi	71.8	0	0	4	0	1	0
Salamandrella_keyserlingii	83	0	0	4	0	1	0
Stenella_attenuata	21	0	0	3	0	1	0
Sus_scrofa	58	187	0.535714285714286	2	3	0.636363636363636	0.363636363636364
Tamias_dorsalis	22	23	0.267857142857143	5	1	0.777777777777778	0.222222222222222
Thylacinus_cynocephalus	21	0	0	4	0	1	0
Tursiops_truncatus	NA	0	0	3	0	1	0
Ursus_arctos	56	64	0.2	7	1	0.833333333333333	0.166666666666667
Vulpes_lagopus	NA	0	0	2	0	1	0
Xanthomixis_zosterops	22	0	0	5	0	1	0
Ziphius_cavirostris	81	0	0	4	0	1	0
Zosterops_lateralis	46	0	0	4	0	1	0
Zosterops_senegalensis	73.2857142857143	385	0.352941176470588	14	5	0.739130434782609	0.260869565217391
