Вид	Средняя дист.Грантхэма	Суммарная дист.Грантхэма	Kn/Ks	Количество синонимичных	Количество несинонимичных	Доля синонимичных	Доля несинонимичных	Продолжительность жизни
Abrothrix longipilis	28.8858596946557	383.479612062838	0.178593177453277	75.3555555555556	13.4222222222222	0.850449015730047	0.149550984269953	589.388299099621
Abrothrix olivaceus	16.4107532565529	14.310139033424	0.11110985267962	9.88372093023256	0.837209302325581	0.909749059270263	0.0902509407297369	589.388299099621
Acomys cahirinus	31.0766176809423	281.143036364705	0.252302850380018	52.1111111111111	8.91666666666667	0.679879861199154	0.320120138800846	650.0125
Acomys dimidiatus	22.5809800918966	30.3519502073946	0.117312964635043	17.2413793103448	1.31034482758621	0.909335631138917	0.0906643688610834	650.0125
Ailuropoda melanoleuca	29.2750875862939	65.5737658426396	0.48496452287053	9.2	2.11111111111111	0.734490752529968	0.265509247470032	5246.699416657
Akodon montensis	25.8080484378496	116.843072627781	0.227476445673922	17.3611111111111	4.22222222222222	0.825405917378842	0.174594082621158	589.388299099621
Akodon spegazzinii	20.6276692752728	58.1972728856388	0.154706415700438	20.4666666666667	2.93333333333333	0.870679072558593	0.129320927441407	589.388299099621
Alouatta belzebul	36.0165171283434	21.2701242519826	0.0776973026973027	8.15384615384615	0.58974358974359	0.933473008473009	0.0665269915269915	4380
Alouatta caraya	25.4094471341423	29.9049821956413	0.397674418604651	4.59090909090909	1.13636363636364	0.762126131444313	0.237873868555687	3750.594
Alouatta guariba	26.6034819050227	92.5014699278676	0.558862433862434	7.23255813953488	3.44186046511628	0.671280048740629	0.328719951259371	3888.34118571429
Alouatta seniculus	45.1773008641411	102.3586024277	1.05593526039178	6.71111111111111	2.31111111111111	0.577751096639985	0.422248903360014	3833.157
Amblysomus hottentotus	22.6660525553481	104.14552438755	0.147646059691733	36.6888888888889	4.57777777777778	0.863812018184011	0.136187981815989	1036.5575833285
Anourosorex squamipes	19.42606713496	36.662766403417	0.117686925205618	25.6444444444444	1.58888888888889	0.917079624344667	0.082920375655333	379.29295625
Aotus nancymaae	NA	0	0	4.25581395348837	0	1	0	3047.8376
Apodemus agrarius	30.9910654704151	38.0216168125887	0.288431005546201	5.8781512605042	1.22478991596639	0.814931057382039	0.185068942617961	504.40745
